QuarterBass Drumeat Count,Offset (Quarter LenSnare Drumth),Instrument1,Instrument2,Instrument1 Duration,Instrument2 Duration,Beat Subdivision
316,78.75,,,,,
317,79,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
318,79.25,,,,,
319,79.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
320,79.75,,,,,
321,80,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
322,80.25,,,,,
323,80.5,,,,,
324,80.75,,,,,
325,81,Tom-tom,Bass Drum,[0.5, 1.0],1st Quarter
326,81.25,,,,,
327,81.5,Snare Drum,,[0.5],,3rd Quarter
328,81.75,,,,,
329,82,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
330,82.25,,,,,
331,82.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
332,82.75,,,,,
333,83,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
334,83.25,,,,,
335,83.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
336,83.75,,,,,
337,84,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
338,84.25,,,,,
339,84.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
340,84.75,,,,,
341,85,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
342,85.25,,,,,
343,85.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
344,85.75,,,,,
345,86,Snare Drum,,[0.5],,1st Quarter
346,86.25,,,,,
347,86.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
348,86.75,,,,,
349,87,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
350,87.25,,,,,
351,87.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
352,87.75,,,,,
353,88,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
354,88.25,,,,,
355,88.5,Snare Drum,,[0.5],,3rd Quarter
356,88.75,,,,,
357,89,Snare Drum,Bass Drum,[0.5, 0.75],1st Quarter
358,89.25,,,,,
359,89.5,Snare Drum,,[0.5],,3rd Quarter
360,89.75,B,,[0.25],,4th Quarter
361,90,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
362,90.25,,,,,
363,90.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
364,90.75,,,,,
365,91,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
366,91.25,,,,,
367,91.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
368,91.75,,,,,
369,92,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
370,92.25,,,,,
371,92.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
372,92.75,,,,,
373,93,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
374,93.25,,,,,
375,93.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
376,93.75,,,,,
377,94,Snare Drum,,[0.5],,1st Quarter
378,94.25,,,,,
379,94.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
380,94.75,,,,,
381,95,Snare Drum,Bass Drum,[1.0, 1.0],1st Quarter
382,95.25,,,,,
383,95.5,,,,,
384,95.75,,,,,
385,96,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
386,96.25,,,,,
387,96.5,,,,,
388,96.75,,,,,
389,97,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
390,97.25,,,,,
391,97.5,,,,,
392,97.75,,,,,
393,98,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
394,98.25,,,,,
395,98.5,Hi-Hat (Open),,[0.5],,3rd Quarter
396,98.75,,,,,
397,99,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
398,99.25,,,,,
399,99.5,,,,,
400,99.75,,,,,
401,100,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
402,100.25,,,,,
403,100.5,,,,,
404,100.75,,,,,
405,101,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
406,101.25,B,,[0.25],,2nd Quarter
407,101.5,B,,[0.25],,3rd Quarter
408,101.75,B,,[0.25],,4th Quarter
409,102,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
410,102.25,B,,[0.25],,2nd Quarter
411,102.5,B,,[0.25],,3rd Quarter
412,102.75,B,,[0.25],,4th Quarter
413,103,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
414,103.25,B,,[0.25],,2nd Quarter
415,103.5,B,,[0.25],,3rd Quarter
416,103.75,B,,[0.25],,4th Quarter
417,104,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
418,104.25,,,,,
419,104.5,,,,,
420,104.75,,,,,
421,105,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
422,105.25,,,,,
423,105.5,,,,,
424,105.75,,,,,
425,106,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
426,106.25,,,,,
427,106.5,Hi-Hat (Open),,[0.5],,3rd Quarter
428,106.75,,,,,
429,107,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
430,107.25,,,,,
431,107.5,,,,,
432,107.75,,,,,
433,108,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
434,108.25,,,,,
435,108.5,,,,,
436,108.75,,,,,
437,109,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
438,109.25,B,,[0.25],,2nd Quarter
439,109.5,B,,[0.25],,3rd Quarter
440,109.75,B,,[0.25],,4th Quarter
441,110,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
442,110.25,B,,[0.25],,2nd Quarter
443,110.5,B,,[0.25],,3rd Quarter
444,110.75,B,,[0.25],,4th Quarter
445,111,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
446,111.25,B,,[0.25],,2nd Quarter
447,111.5,B,,[0.25],,3rd Quarter
448,111.75,B,,[0.25],,4th Quarter
449,112,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
450,112.25,,,,,
451,112.5,,,,,
452,112.75,,,,,
453,113,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
454,113.25,,,,,
455,113.5,,,,,
456,113.75,,,,,
457,114,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
458,114.25,,,,,
459,114.5,Hi-Hat (Open),,[0.5],,3rd Quarter
460,114.75,,,,,
461,115,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
462,115.25,,,,,
463,115.5,,,,,
464,115.75,,,,,
465,116,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
466,116.25,,,,,
467,116.5,,,,,
468,116.75,,,,,
469,117,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
470,117.25,B,,[0.25],,2nd Quarter
471,117.5,B,,[0.25],,3rd Quarter
472,117.75,B,,[0.25],,4th Quarter
473,118,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
474,118.25,B,,[0.25],,2nd Quarter
475,118.5,B,,[0.25],,3rd Quarter
476,118.75,B,,[0.25],,4th Quarter
477,119,B, Hi-Hat (Open),[0.25, 1.0],1st Quarter
478,119.25,B,,[0.25],,2nd Quarter
479,119.5,B,,[0.25],,3rd Quarter
480,119.75,B,,[0.25],,4th Quarter
481,120,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
482,120.25,,,,,
483,120.5,,,,,
484,120.75,,,,,
485,121,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
486,121.25,,,,,
487,121.5,,,,,
488,121.75,,,,,
489,122,Tom-tom, Hi-Hat (Open),[1.0, 0.5],1st Quarter
490,122.25,,,,,
491,122.5,Hi-Hat (Open),,[0.5],,3rd Quarter
492,122.75,,,,,
493,123,Tom-tom,Bass Drum,[1.0, 1.0],1st Quarter
494,123.25,,,,,
495,123.5,,,,,
496,123.75,,,,,
497,124,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
498,124.25,,,,,
499,124.5,,,,,
500,124.75,,,,,
501,125,B,,[0.25],,1st Quarter
502,125.25,B,,[0.25],,2nd Quarter
503,125.5,B,,[0.25],,3rd Quarter
504,125.75,B,,[0.25],,4th Quarter
505,126,Hi-Hat (Closed),,[0.25],,1st Quarter
506,126.25,Hi-Hat (Closed),,[0.25],,2nd Quarter
507,126.5,Snare Drum,,[0.25],,3rd Quarter
508,126.75,Hi-Hat (Open),,[0.25],,4th Quarter
509,127,B,Bass Drum,[0.0, 1.0],1st Quarter
510,127.25,,,,,
511,127.5,,,,,
512,127.75,,,,,
513,128,Tom-tom, Hi-Hat (Open),[1.0, 1.0],1st Quarter
514,128.25,,,,,
515,128.5,,,,,
516,128.75,,,,,
517,129,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
518,129.25,,,,,
519,129.5,Snare Drum,,[0.5],,3rd Quarter
520,129.75,,,,,
521,130,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
522,130.25,,,,,
523,130.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
524,130.75,,,,,
525,131,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
526,131.25,,,,,
527,131.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
528,131.75,,,,,
529,132,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
530,132.25,,,,,
531,132.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
532,132.75,,,,,
533,133,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
534,133.25,,,,,
535,133.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
536,133.75,,,,,
537,134,Snare Drum,,[0.5],,1st Quarter
538,134.25,,,,,
539,134.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
540,134.75,,,,,
541,135,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
542,135.25,,,,,
543,135.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
544,135.75,,,,,
545,136,Snare Drum, Hi-Hat (Open),[0.5, 1.0],1st Quarter
546,136.25,,,,,
547,136.5,Snare Drum,,[0.5],,3rd Quarter
548,136.75,,,,,
549,137,Snare Drum,Bass Drum,[0.5, 1.0],1st Quarter
550,137.25,,,,,
551,137.5,Snare Drum,,[0.5],,3rd Quarter
552,137.75,,,,,
553,138,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
554,138.25,,,,,
555,138.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
556,138.75,,,,,
557,139,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
558,139.25,,,,,
559,139.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
560,139.75,,,,,
561,140,Snare Drum, Hi-Hat (Open),[0.5, 0.5],1st Quarter
562,140.25,,,,,
563,140.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
564,140.75,,,,,
565,141,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
566,141.25,,,,,
567,141.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
568,141.75,,,,,
569,142,Snare Drum,,[0.5],,1st Quarter
570,142.25,,,,,
571,142.5,Snare Drum, Hi-Hat (Open),[0.5, 0.5],3rd Quarter
572,142.75,,,,,
573,143,Snare Drum,Bass Drum,[0.5, 0.5],1st Quarter
574,143.25,,,,,
