Beat Count,Instrument 1,Instrument 2,Offset (Quarter Length)
200,Bass Drum,Hi-Hat (Open),49.75
e,,,49.8125
&,Hi-Hat (Open),,49.875
a,,,49.9375
201,Snare Drum,Hi-Hat (Open),50
e,,,50.0625
&,Bass Drum,Hi-Hat (Open),50.125
a,,,50.1875
202,Bass Drum,Hi-Hat (Open),50.25
e,,,50.3125
&,Hi-Hat (Open),,50.375
a,,,50.4375
203,Snare Drum,Hi-Hat (Open),50.5
e,,,50.5625
&,Bass Drum,Hi-Hat (Open),50.625
a,,,50.6875
204,Bass Drum,Hi-Hat (Open),50.75
e,,,50.8125
&,Hi-Hat (Open),,50.875
a,,,50.9375
205,Snare Drum,Hi-Hat (Open),51
e,,,51.0625
&,Bass Drum,Hi-Hat (Open),51.125
a,,,51.1875
206,Bass Drum,Hi-Hat (Open),51.25
e,,,51.3125
&,Hi-Hat (Open),,51.375
a,,,51.4375
207,Snare Drum,Hi-Hat (Open),51.5
e,,,51.5625
&,Bass Drum,Hi-Hat (Open),51.625
a,,,51.6875
208,Bass Drum,Hi-Hat (Open),51.75
e,,,51.8125
&,Snare Drum,Tom-tom,51.875
a,,,51.9375
209,Snare Drum,Tom-tom,52
e,,,52.0625
&,,,52.125
a,,,52.1875
210,Bass Drum,Tom-tom,52.25
e,,,52.3125
&,Hi-Hat (Open),,52.375
a,,,52.4375
211,Snare Drum,Hi-Hat (Open),52.5
e,,,52.5625
&,Bass Drum,Hi-Hat (Open),52.625
a,,,52.6875
212,Bass Drum,Hi-Hat (Open),52.75
e,,,52.8125
&,Hi-Hat (Open),,52.875
a,,,52.9375
213,Snare Drum,Hi-Hat (Open),53
e,,,53.0625
&,Bass Drum,Hi-Hat (Open),53.125
a,,,53.1875
214,Bass Drum,Hi-Hat (Open),53.25
e,,,53.3125
&,Hi-Hat (Open),,53.375
a,,,53.4375
215,Snare Drum,Hi-Hat (Open),53.5
e,,,53.5625
&,Bass Drum,Hi-Hat (Open),53.625
a,,,53.6875
216,Bass Drum,Hi-Hat (Open),53.75
e,,,53.8125
&,Hi-Hat (Open),,53.875
a,,,53.9375
217,Hi-Hat (Open),,54
e,,,54.0625
&,Bass Drum,Hi-Hat (Open),54.125
a,,,54.1875
218,Bass Drum,Hi-Hat (Open),54.25
e,,,54.3125
&,Hi-Hat (Open),,54.375
a,,,54.4375
219,Snare Drum,Hi-Hat (Open),54.5
e,,,54.5625
&,Bass Drum,Hi-Hat (Open),54.625
a,,,54.6875
220,Bass Drum,Hi-Hat (Open),54.75
e,,,54.8125
&,Hi-Hat (Open),,54.875
a,,,54.9375
221,Hi-Hat (Open),,55
e,,,55.0625
&,Bass Drum,Hi-Hat (Open),55.125
a,,,55.1875
222,Bass Drum,Hi-Hat (Open),55.25
e,,,55.3125
&,Hi-Hat (Open),,55.375
a,,,55.4375
223,Snare Drum,Hi-Hat (Open),55.5
e,,,55.5625
&,Bass Drum,Hi-Hat (Open),55.625
a,,,55.6875
