Count,Instrument 1,Instrument 2,Section
e,,,Verse 2
&,,,Chorus 2
a,,,Chorus 2
3,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
4,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
2,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
3,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
4,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
2,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
3,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
4,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
2,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
3,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
4,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
2,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
3,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
4,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
2,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
3,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
4,Bass Drum,Hi-Hat (Open),Chorus 2
e,Bass Drum,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
2,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
3,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
4,Tom-tom,Bass Drum,Chorus 2
e,,,Chorus 2
&,,,Chorus 2
a,,,Chorus 2
1,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
2,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
3,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
4,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Hi-Hat (Open),,Chorus 2
a,,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Bass Drum,Hi-Hat (Open),Chorus 2
a,,,Chorus 2
2,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Bass Drum,,Chorus 2
a,,,Chorus 2
3,Bass Drum,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Bass Drum,Hi-Hat (Open),Chorus 2
a,,,Chorus 2
4,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Bass Drum,,Chorus 2
a,,,Chorus 2
1,Tom-tom,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Bass Drum,Hi-Hat (Open),Chorus 2
a,,,Chorus 2
2,Bass Drum,Bass Drum,Chorus 2
e,,,Chorus 2
&,Bass Drum,,Chorus 2
a,,,Chorus 2
3,Bass Drum,Hi-Hat (Open),Chorus 2
e,,,Chorus 2
&,Bass Drum,Hi-Hat (Open),Chorus 2
a,,,Chorus 2
4,,,Chorus 2
e,,,Chorus 2
&,Bass Drum,,Chorus 2
a,Bass Drum,,Bridge
1,Tom-tom,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
2,Bass Drum,Bass Drum,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,,,Bridge
3,Bass Drum,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
4,Bass Drum,Bass Drum,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,,,Bridge
1,Tom-tom,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
2,Bass Drum,Bass Drum,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,,,Bridge
3,Bass Drum,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
4,,,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,Bass Drum,,Bridge
1,Tom-tom,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
2,Bass Drum,Bass Drum,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,,,Bridge
3,Bass Drum,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
4,Bass Drum,Bass Drum,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,,,Bridge
1,Tom-tom,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
2,Bass Drum,Bass Drum,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,,,Bridge
3,Bass Drum,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
4,,,Bridge
e,,,Bridge
&,Bass Drum,,Bridge
a,Bass Drum,,Bridge
1,Tom-tom,Hi-Hat (Open),Bridge
e,,,Bridge
&,Bass Drum,Hi-Hat (Open),Bridge
a,,,Bridge
2,Bass Drum,Bass Drum,Bridge
